Summary of the training: 
(' ave_R ', 153.12, ' std_R ', 157.72, ' min_R ', -6.6, ' max_R ', 986.87, ' times ', 8746852, ' epi', 7200, ' clock ', 5.66, ' min')
(' ave_R ', 171.38, ' std_R ', 167.58, ' min_R ', -6.6, ' max_R ', 986.87, ' times ', 9033744, ' epi', 7300, ' clock ', 5.81, ' min')
(' ave_R ', 166.47, ' std_R ', 158.17, ' min_R ', -6.6, ' max_R ', 831.87, ' times ', 9276159, ' epi', 7400, ' clock ', 5.94, ' min')
(' ave_R ', 165.79, ' std_R ', 156.5, ' min_R ', -6.6, ' max_R ', 831.87, ' times ', 9516942, ' epi', 7500, ' clock ', 6.08, ' min')
(' ave_R ', 161.96, ' std_R ', 157.37, ' min_R ', -6.6, ' max_R ', 831.87, ' times ', 9764737, ' epi', 7600, ' clock ', 6.22, ' min')
(' ave_R ', 168.88, ' std_R ', 168.09, ' min_R ', -7.2, ' max_R ', 831.87, ' times ', 10023186, ' epi', 7700, ' clock ', 6.35, ' min')
(' ave_R ', 166.35, ' std_R ', 170.11, ' min_R ', -7.2, ' max_R ', 831.87, ' times ', 10274858, ' epi', 7800, ' clock ', 6.5, ' min')
(' ave_R ', 169.02, ' std_R ', 162.32, ' min_R ', -7.2, ' max_R ', 831.87, ' times ', 10538016, ' epi', 7900, ' clock ', 6.64, ' min')
(' ave_R ', 173.52, ' std_R ', 158.86, ' min_R ', -9.31, ' max_R ', 831.87, ' times ', 10775944, ' epi', 8000, ' clock ', 6.77, ' min')
(' ave_R ', 170.99, ' std_R ', 151.33, ' min_R ', -9.31, ' max_R ', 831.87, ' times ', 10991762, ' epi', 8100, ' clock ', 6.9, ' min')
(' ave_R ', 173.11, ' std_R ', 154.03, ' min_R ', -9.31, ' max_R ', 831.87, ' times ', 11252822, ' epi', 8200, ' clock ', 7.03, ' min')
(' ave_R ', 155.8, ' std_R ', 142.11, ' min_R ', -9.31, ' max_R ', 713.14, ' times ', 11468812, ' epi', 8300, ' clock ', 7.16, ' min')
(' ave_R ', 154.52, ' std_R ', 139.37, ' min_R ', -9.31, ' max_R ', 713.14, ' times ', 11693632, ' epi', 8400, ' clock ', 7.29, ' min')
(' ave_R ', 158.46, ' std_R ', 140.69, ' min_R ', -9.31, ' max_R ', 713.14, ' times ', 11966138, ' epi', 8500, ' clock ', 7.43, ' min')
(' ave_R ', 159.34, ' std_R ', 151.47, ' min_R ', -9.31, ' max_R ', 834.96, ' times ', 12208521, ' epi', 8600, ' clock ', 7.57, ' min')
(' ave_R ', 152.2, ' std_R ', 145.97, ' min_R ', -9.31, ' max_R ', 834.96, ' times ', 12438037, ' epi', 8700, ' clock ', 7.7, ' min')
(' ave_R ', 152.8, ' std_R ', 140.32, ' min_R ', -9.31, ' max_R ', 834.96, ' times ', 12644946, ' epi', 8800, ' clock ', 7.83, ' min')
(' ave_R ', 160.95, ' std_R ', 143.69, ' min_R ', -9.31, ' max_R ', 834.96, ' times ', 12883130, ' epi', 8900, ' clock ', 7.97, ' min')
(' ave_R ', 159.48, ' std_R ', 142.65, ' min_R ', -7.1, ' max_R ', 834.96, ' times ', 13126515, ' epi', 9000, ' clock ', 8.11, ' min')
(' ave_R ', 172.16, ' std_R ', 164.51, ' min_R ', -7.1, ' max_R ', 880.41, ' times ', 13348182, ' epi', 9100, ' clock ', 8.24, ' min')
(' ave_R ', 171.61, ' std_R ', 163.12, ' min_R ', -7.1, ' max_R ', 880.41, ' times ', 13578223, ' epi', 9200, ' clock ', 8.37, ' min')
(' ave_R ', 182.48, ' std_R ', 165.3, ' min_R ', -7.1, ' max_R ', 880.41, ' times ', 13813129, ' epi', 9300, ' clock ', 8.5, ' min')
(' ave_R ', 190.24, ' std_R ', 170.18, ' min_R ', -7.1, ' max_R ', 880.41, ' times ', 14079369, ' epi', 9400, ' clock ', 8.65, ' min')
(' ave_R ', 191.75, ' std_R ', 174.22, ' min_R ', -7.1, ' max_R ', 880.41, ' times ', 14305770, ' epi', 9500, ' clock ', 8.79, ' min')
(' ave_R ', 206.61, ' std_R ', 169.11, ' min_R ', -2.79, ' max_R ', 880.41, ' times ', 14591515, ' epi', 9600, ' clock ', 8.93, ' min')
